post_id,musician_screen_name,post_created_at,musician_post,musician_post_hashtags,musician_post_mentions,musician_post_favorite_count,musician_post_retweet_count
1111165345597931521,zenojones,Thu Mar 28 07:17:17 +0000 2019,@OsheaJacksonJr Wow,#,@OsheaJacksonJr@,1,0
1111157550731444224,zenojones,Thu Mar 28 06:46:19 +0000 2019,"Ain’t no Cupid shuffle but we dancing in this bitch vs Bull ridin' and boobies
Cowboy hat from Gucci",#,@,0,0
1111156299163750401,zenojones,Thu Mar 28 06:41:20 +0000 2019,RT @LlLWALMART: Man @zenojones gave me some advice a few months ago and I implemented it like crazy. Only going up from here. I promise.,#,@LlLWALMART@zenojones@,0,1
1111152822010167296,zenojones,Thu Mar 28 06:27:31 +0000 2019,"1st down
5 yard run 2nd &amp; 5
Incomplete pass 3rd &amp; 5
QB SACK 4th &amp; 5
QB Sneak 28 yard touchdown 
Game",#,@,0,0
1118923045035548672,ChrisBlaze4,Thu Apr 18 17:03:37 +0000 2019,@Jeopardy We love you Alex!!! Keep the faith and keep the fight!,#,@Jeopardy@,0,0
1116163583895834626,ChrisBlaze4,Thu Apr 11 02:18:30 +0000 2019,@TOPDUDE100 That’s not her,#,@TOPDUDE100@,0,0
1116159393551257600,ChrisBlaze4,Thu Apr 11 02:01:51 +0000 2019,"RT @RobertWhite_DC: Tomorrow morning at 9 AM, I’ll be on @greatdaywash with @super_markette  and @RonaldMoten to discuss the #DontMuteDC ca…",#DontMuteDC#,@RobertWhite_DC@greatdaywash@super_markette@RonaldMoten@,0,2
1116086486124904448,ChrisBlaze4,Wed Apr 10 21:12:08 +0000 2019,@RobertWhite_DC Shout out to DC at large Council member and Archbishop Carroll High School graduate Robert C. White… https://t.co/QLEUq8vYvY,#,@RobertWhite_DC@,1,0
1115862494004822016,ChrisBlaze4,Wed Apr 10 06:22:04 +0000 2019,@_MCKENTON_ Bro way to rep DC! Your funny as hell!!!,#,@_MCKENTON_@,0,0
1115293404148248577,ChrisBlaze4,Mon Apr 08 16:40:43 +0000 2019,@ithrewThaParty https://t.co/eQsR0v55PQ,#,@ithrewThaParty@,0,0
1114265672115159040,ChrisBlaze4,Fri Apr 05 20:36:52 +0000 2019,@Sir_Waveyy Thank you Jesus,#,@Sir_Waveyy@,1,0
1114194226089222144,ChrisBlaze4,Fri Apr 05 15:52:58 +0000 2019,@ilivebeau Dope bro,#,@ilivebeau@,0,0
1112109727637479425,ChrisBlaze4,Sat Mar 30 21:49:55 +0000 2019,@JayceBaron Cardi B,#,@JayceBaron@,0,0
1108485051560411137,ChrisBlaze4,Wed Mar 20 21:46:45 +0000 2019,@IAmJoelRush Bro your acting gift is phenomenal! How can I audition in a project?,#,@IAmJoelRush@,0,0
1108250820632563712,ChrisBlaze4,Wed Mar 20 06:16:00 +0000 2019,@LMG_BangBang Seem cool! Stay blessed bro,#,@LMG_BangBang@,0,0
